Unique_identifier,obs_trip_id,haul_number,specimen_number,Slide Box,Slide No.,Count,Margin,Quality,Comments,,,,,,,,,,
JRL043-3-102,JRL043,3,102,SEFIS_Box_1_TM,39,4,2,E,,,,,,,,,,,
JRL035-10-102,JRL035,10,102,SEFIS_Box_1_TM,47,4,2,E,,,,,,,,,,,
JRL037-6-102,JRL037,6,102,SEFIS_Box_1_TM,50,4,2,E,,,,,,,,,,,
JRL037-6-103,JRL037,6,103,SEFIS_Box_1_TM,51,4,2,E,,,,,,,,,,,
JRL041-1-102,JRL041,1,102,SEFIS_Box_1_TM,55,4,2,D,,,,,,,,,,,
JRL041-1-105,JRL041,1,105,SEFIS_Box_1_TM,57,4,2,D,,,,,,,,,,,
JWP110-14-108,JWP110,14,108,SEFIS_Box_1_TM,65,4,2,D,,,,,,,,,,,
JWP110-14-109,JWP110,14,109,SEFIS_Box_1_TM,66,4,2,D,only one otolith,,,,,,,,,,
JWP110-2-105,JWP110,2,105,SEFIS_Box_1_TM,69,4,2,E,,,,,,,,,,,
JWP112-10-101,JWP112,10,101,SEFIS_Box_1_TM,77,4,3,D,,,,,,,,,,,
JWP112-9-108,JWP112,9,108,SEFIS_Box_1_TM,80,4,3,D,,,,,,,,,,,
MPE023-36-101,MPE023,36,101,SEFIS_Box_1_TM,85,4,2,D,remaining otolith is broken.,,,,,,,,,,
MPE024-9-104,MPE024,9,104,SEFIS_Box_1_TM,96,4,3,D,,,,,,,,,,,
JRL033-5-108,JRL033,5,108,SEFIS_Box_2_TM,10,4,2,E,,,,,,,,,,,
JRL033-6-102,JRL033,6,102,SEFIS_Box_2_TM,11,4,2,D,,,,,,,,,,,
MPE025-1-105,MPE025,1,105,SEFIS_Box_2_TM,17,4,2,D,,,,,,,,,,,
PJC004-27-101,PJC004,27,101,SEFIS_Box_2_TM,33,4,3,D,,,,,,,,,,,
PJC004-72-102,PJC004,72,102,SEFIS_Box_2_TM,34,4,2,D,,,,,,,,,,,
PJC004-69-105,PJC004,69,105,SEFIS_Box_2_TM,36,4,3,B,VATERITE,,,,,,,,,,
PJC007-102-102,PJC007,102,102,SEFIS_Box_2_TM,38,4,4,D,both samples broken,,,,,,,,,,
PJC007-2-102,PJC007,2,102,SEFIS_Box_2_TM,50,4,4,D,,,,,,,,,,,
PJC007-3-104,PJC007,3,104,SEFIS_Box_2_TM,51,4,4,D,,,,,,,,,,,
PJC007-3-105,PJC007,3,105,SEFIS_Box_2_TM,52,4,4,D,remaining otolith is broken.,,,,,,,,,,
JRL034-14-101,JRL034,14,101,SEFIS_Box_1_TM,1,5,2,E,,,,,,,,,,,
JRL035-5-101,JRL035,5,101,SEFIS_Box_1_TM,6,5,2,E,,,,,,,,,,,
JRL035-5-102,JRL035,5,102,SEFIS_Box_1_TM,7,5,2,D,,,,,,,,,,,
JRL036-13-102,JRL036,13,102,SEFIS_Box_1_TM,8,5,2,E,,,,,,,,,,,
JRL037-1-103,JRL037,1,103,SEFIS_Box_1_TM,16,5,2,D,,,,,,,,,,,
JRL037-3-103,JRL037,3,103,SEFIS_Box_1_TM,20,5,2,D,,,,,,,,,,,
JRL037-9-108,JRL037,9,108,SEFIS_Box_1_TM,30,5,2,D,,,,,,,,,,,
JRL038-1-103,JRL038,1,103,SEFIS_Box_1_TM,31,5,2,E,,,,,,,,,,,
JRL041-1-103,JRL041,1,103,SEFIS_Box_1_TM,56,5,3,E,,,,,,,,,,,
JRL041-13-103,JRL041,13,103,SEFIS_Box_1_TM,59,5,3,E,,,,,,,,,,,
JWP109-25-104,JWP109,25,104,SEFIS_Box_1_TM,63,5,3,D,,,,,,,,,,,
JWP111-1-102,JWP111,1,102,SEFIS_Box_1_TM,73,5,3,D,,,,,,,,,,,
JWP112-5-104,JWP112,5,104,SEFIS_Box_1_TM,79,5,2,E,,,,,,,,,,,
MPE023-78-101,MPE023,78,101,SEFIS_Box_1_TM,88,5,2,D,two sections disintegrated during processing,,,,,,,,,,
MPE023-78-102,MPE023,78,102,SEFIS_Box_1_TM,89,5,2,D,,,,,,,,,,,
MPE023-80-101,MPE023,80,101,SEFIS_Box_1_TM,90,5,1,D,remaining otolith is broken.,,,,,,,,,,
PJC005-41-105,PJC005,41,105,SEFIS_Box_1_TM,99,5,3,D,,,,,,,,,,,
PJC005-41-107,PJC005,41,107,SEFIS_Box_1_TM,100,5,3,D,,,,,,,,,,,
PJC005-41-118,PJC005,41,118,SEFIS_Box_2_TM,1,5,2,D,,,,,,,,,,,
PJC005-89-101,PJC005,89,101,SEFIS_Box_2_TM,2,5,2,E,,,,,,,,,,,
PJC006-308-101,PJC006,308,101,SEFIS_Box_2_TM,4,5,2,E,,,,,,,,,,,
PJC006-323-101,PJC006,323,101,SEFIS_Box_2_TM,5,5,2,D,,,,,,,,,,,
JRL033-5-101,JRL033,5,101,SEFIS_Box_2_TM,8,5,2,D,,,,,,,,,,,
JRL033-5-102,JRL033,5,102,SEFIS_Box_2_TM,9,5,2,D,,,,,,,,,,,
JRL039-18-102,JRL039,18,102,SEFIS_Box_2_TM,14,5,3,D,,,,,,,,,,,
MPE025-1-106,MPE025,1,106,SEFIS_Box_2_TM,18,5,3,D,,,,,,,,,,,
MPE025-1-108,MPE025,1,108,SEFIS_Box_2_TM,20,5,2,D,,,,,,,,,,,
MPE026-19-102,MPE026,19,102,SEFIS_Box_2_TM,30,5,3,D,,,,,,,,,,,
MPE026-9-101,MPE026,9,101,SEFIS_Box_2_TM,32,5,3,D,,,,,,,,,,,
PJC004-69-104,PJC004,69,104,SEFIS_Box_2_TM,35,5,3,D,,,,,,,,,,,
PJC007-102-101,PJC007,102,101,SEFIS_Box_2_TM,37,5,3,D,,,,,,,,,,,
PJC007-102-103,PJC007,102,103,SEFIS_Box_2_TM,39,5,4,D,remaining otolith is broken.,,,,,,,,,,
PJC007-118-102,PJC007,118,102,SEFIS_Box_2_TM,43,5,4,D,,,,,,,,,,,
JRL034-8-101,JRL034,8,101,SEFIS_Box_1_TM,3,6,2,D,,,,,,,,,,,
JRL036-13-104,JRL036,13,104,SEFIS_Box_1_TM,10,6,2,D,,,,,,,,,,,
JRL036-4-101,JRL036,4,101,SEFIS_Box_1_TM,11,6,2,D,,,,,,,,,,,
JRL036-9-101,JRL036,9,101,SEFIS_Box_1_TM,15,6,2,E,,,,,,,,,,,
JRL037-20-101,JRL037,20,101,SEFIS_Box_1_TM,17,6,2,D,,,,,,,,,,,
JRL037-21-104,JRL037,21,104,SEFIS_Box_1_TM,19,6,2,E,,,,,,,,,,,
JRL037-9-106,JRL037,9,106,SEFIS_Box_1_TM,28,6,2,D,,,,,,,,,,,
JRL038-1-104,JRL038,1,104,SEFIS_Box_1_TM,32,6,2,E,,,,,,,,,,,
JRL044-4-103,JRL044,4,103,SEFIS_Box_1_TM,43,6,3,E,,,,,,,,,,,
JRL041-17-108,JRL041,17,108,SEFIS_Box_1_TM,60,6,3,D,,,,,,,,,,,
JWP110-2-104,JWP110,2,104,SEFIS_Box_1_TM,68,6,2,D,,,,,,,,,,,
JWP110-2-106,JWP110,2,106,SEFIS_Box_1_TM,70,6,2,D,,,,,,,,,,,
JWP110-2-108,JWP110,2,108,SEFIS_Box_1_TM,71,6,2,D,only one otolith,,,,,,,,,,
JWP110-2-109,JWP110,2,109,SEFIS_Box_1_TM,72,6,2,D,,,,,,,,,,,
MPE023-68-101,MPE023,68,101,SEFIS_Box_1_TM,86,6,1,D,,,,,,,,,,,
MPE023-71-103,MPE023,71,103,SEFIS_Box_1_TM,87,6,2,D,,,,,,,,,,,
MPE024-17-101,MPE024,17,101,SEFIS_Box_1_TM,93,6,2,D,,,,,,,,,,,
MPE024-21-104,MPE024,21,104,SEFIS_Box_1_TM,94,6,1,D,,,,,,,,,,,
MPE027-1-110,MPE027,1,110,SEFIS_Box_1_TM,97,6,3,E,,,,,,,,,,,
PJC005-41-101,PJC005,41,101,SEFIS_Box_1_TM,98,6,3,D,,,,,,,,,,,
PJC005-89-104,PJC005,89,104,SEFIS_Box_2_TM,3,6,1,D,,,,,,,,,,,
MPE025-1-103,MPE025,1,103,SEFIS_Box_2_TM,16,6,2,D,,,,,,,,,,,
MPE025-1-107,MPE025,1,107,SEFIS_Box_2_TM,19,6,3,D,,,,,,,,,,,
PJC007-106-103,PJC007,106,103,SEFIS_Box_2_TM,40,6,3,D,,,,,,,,,,,
PJC007-98-101,PJC007,98,101,SEFIS_Box_2_TM,54,6,4,D,,,,,,,,,,,
JRL035-1-102,JRL035,1,102,SEFIS_Box_1_TM,4,7,2,D,,,,,,,,,,,
JRL037-21-103,JRL037,21,103,SEFIS_Box_1_TM,18,7,2,D,,,,,,,,,,,
JRL037-9-103,JRL037,9,103,SEFIS_Box_1_TM,25,7,2,D,,,,,,,,,,,
JRL043-1-102,JRL043,1,102,SEFIS_Box_1_TM,38,7,2,D,,,,,,,,,,,
JRL043-9-104,JRL043,9,104,SEFIS_Box_1_TM,40,7,2,D,,,,,,,,,,,
JRL045-5-102,JRL045,5,102,SEFIS_Box_1_TM,45,7,3,D,,,,,,,,,,,
JRL036-5-105,JRL036,5,105,SEFIS_Box_1_TM,49,7,2,E,,,,,,,,,,,
JRL040-9-107,JRL040,9,107,SEFIS_Box_1_TM,54,7,3,D,,,,,,,,,,,
JWP110-10-103,JWP110,10,103,SEFIS_Box_1_TM,64,7,2,D,,,,,,,,,,,
JWP112-1-107,JWP112,1,107,SEFIS_Box_1_TM,76,7,2,D,,,,,,,,,,,
MPE023-91-103,MPE023,91,103,SEFIS_Box_1_TM,91,7,1,D,,,,,,,,,,,
MPE024-5-101,MPE024,5,101,SEFIS_Box_1_TM,95,7,3,D,,,,,,,,,,,
JRL033-1-101,JRL033,1,101,SEFIS_Box_2_TM,6,7,2,E,,,,,,,,,,,
JRL033-1-104,JRL033,1,104,SEFIS_Box_2_TM,7,7,1,D,,,,,,,,,,,
MPE025-1-102,MPE025,1,102,SEFIS_Box_2_TM,15,7,2,D,,,,,,,,,,,
PJC007-138-103,PJC007,138,103,SEFIS_Box_2_TM,44,7,4,D,remaining otolith is broken.,,,,,,,,,,
PJC007-98-103,PJC007,98,103,SEFIS_Box_2_TM,55,7,4,D,,,,,,,,,,,
MPE023-103-103,MPE023,103,103,SEFIS_Box_1_TM,84,8,2,C,,,,,,,,,,,
JWP109-13-105,JWP109,13,105,SEFIS_Box_1_TM,62,9,2,D,,,,,,,,,,,
MPE024-1-101,MPE024,1,101,SEFIS_Box_1_TM,92,9,2,D,,,,,,,,,,,
MPE026-17-103,MPE026,17,103,SEFIS_Box_2_TM,27,9,3,D,,,,,,,,,,,
JWP110-19-101,JWP110,19,101,SEFIS_Box_1_TM,67,10,3,D,,,,,,,,,,,
JRL035-13-103,JRL035,13,103,SEFIS_Box_1_TM,5,11,2,E,,,,,,,,,,,
MPE026-13-109,MPE026,13,109,SEFIS_Box_2_TM,26,11,2,D,,,,,,,,,,,
PJC007-142-103,PJC007,142,103,SEFIS_Box_2_TM,47,13,4,D,,,,,,,,,,,
JRL040-9-105,JRL040,9,105,SEFIS_Box_1_TM,53,14,2,D,,,,,,,,,,,
MPE026-13-104,MPE026,13,104,SEFIS_Box_2_TM,25,14,2,D,,,,,,,,,,,
PJC007-118-101,PJC007,118,101,SEFIS_Box_2_TM,42,14,3,D,,,,,,,,,,,
MPE026-17-104,MPE026,17,104,SEFIS_Box_2_TM,28,22,2,D,,,,,,,,,,,
JWP110-2-101,JWP110,2,101,,,,,,sample envelope missing,,,,,,,,,,
JWP111-12-101,JWP111,12,101,,,,,,"Broken, unsectionable",,,,,,,,,,
PJC007-5-102,PJC007,5,102,,,,,,"Broken, unsectionable",,,,,,,,,,
